Song,Artist,Reference Track,Chart,Assigned to,Collab with,Day,Time,Stage,Notes
All In,Displace,Drive,All In - Displace.pdf,---,Displace,Friday,3:40,Home Team,"Austin on Trombone, Bianca on Bari Sax part, Brian on Trumpet 2 part (if he's there)"
Friction,Displace,Spotify,,Brian,Displace,Friday,3:40,Home Team,"No charts for ""Friction"" unfortunately but we can jam on that one. The only notable section would be the bridge hits at 2:40 then the horn feature at 3:05 and the very last hit of the song. Other than that, y'all can ""do you"" on it! "
Blinding Lights,The Weeknd,Spotify,,,Displace,Friday,3:40,Home Team,"For ""Blinding Lights"" we play it pretty big. We do it instrumentally with our singer playing it on Keytar. Maybe a big horn swell at the beginning and you guys blast the main melody. We're down for suggestions too but we stick to the form as the original. We are in the original key |Fm - Cm - Eb - Bb|"
Fever Dream,Joe Marcinek,Drive,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
SoulD,Joe Marcinek,Drive,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Soffa,Joe Marcinek,Spotify,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
George Washington,Joe Marcinek,Drive,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Furry Teddy Bear,Joe Marcinek,Drive,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Cosmic Girl,Jamiroquai,Spotify,Cosmic Girl - Jamiroquai.pdf,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,Austin on Congas
Them Changes,Buddy Miles,Spotify,,,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Franklin's Tower,Grateful Dead,Spotify,,,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Shakedown Street,Grateful Dead,Spotify,,,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Turn on Your Love Light,Grateful Dead,Spotify,,,Joe Marcinek Band,Thursday,6:55,Whippersnap,probably this song - waiting for clarification
Mothership Connection,Parliament,Spotify,,Brian,Joe Marcinek Band,Thursday,6:55,Whippersnap,
Groove is in the Heart,Blues Traveler,Spotify,,,MiniM,Friday,7:40,Whippersnap,Brian might not be there
Stratus Jam,Tru Phonic,waiting to get it,,Ryan,Tru Phonic,Saturday,5:20,Whippersnap,Brian might not be there
I Wish,Stevie Wonder,Spotify,,Ryan,Organ Fairchild,Thursday,5:40,Home Team,there's probably a RBMH chart
